,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,full_text,full_text_cleaned,scores_sum,sentences,scores
829,829,0.0,0.2735,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['yeah', 'claim', 'turn', 'make', 'human', 'combo', 'safer', 'human', 'drive', 'readi', 'complet', 'yet', 'waymo', 'appar', 'still', 'work', 'left']",@all_incorrect @DonatoKen @jeremiahfraites @elonmusk Yeah the claim is that turning it on makes the human + autopilot combo safer than just humans driving not that it’s ready to be completely autonomous yet (waymo is there Tesla apparently still has some work left to do),yeah claim turn make human combo safer human drive readi complet yet waymo appar still work left,0.984,['Yeah the claim is that turning it on makes the human + autopilot combo safer than just humans driving not that it’s ready to be completely autonomous yet (waymo is there Tesla apparently still has some work left to do)'],[0.984]
830,830,0.0,0.2684,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['complet', 'though', 'allow', 'car', 'acceler', 'steer', 'brake', 'compani', 'warn', 'driver', 'need', 'behind', 'wheel', 'pay', 'attent', 'case', 'system', 'make', 'mistak']","[Tesla’s autopilot is not completely autonomous, though it does allow the cars to accelerate, steer, and brake by themselves. The company warns drivers that they need to be behind the wheel and paying attention in case the system makes a mistake and they..
https://t.co/XlSHnvc9OH",complet though allow car acceler steer brake compani warn driver need behind wheel pay attent case system make mistak,-0.936,"['[Tesla’s autopilot is not completely autonomous, though it does allow the cars to accelerate, steer, and brake by themselves.', 'The company warns drivers that they need to be behind the wheel and paying attention in case the system makes a mistake and they..']","[-0.999, -0.873]"
831,831,0.0,0.2626,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['perhap', 'car', 'make', 'complet', 'questionari', 'driver', 'could', 'enabl', 'system', 'includ', 'map', 'navig', 'driver', 'fulli', 'awar', 'capabl', 'limit']","@allan_mustard @breki74 Perhaps Tesla and other autonomous cars should make a complete questionary to the drivers, before they could enable autopilot or other systems, including mapping and navigation. So drivers are fully aware of capabilities and limitations.",perhap car make complet questionari driver could enabl system includ map navig driver fulli awar capabl limit,0.001,"['Perhaps Tesla and other autonomous cars should make a complete questionary to the drivers, before they could enable autopilot or other systems, including mapping and navigation.', 'So drivers are fully aware of capabilities and limitations.']","[-0.999, 1.0]"
832,832,0.0,0.3118,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['gave', 'back', 'drive', 'licens', '67', 'car', 'moment', 'fad', 'airplan', 'fli', 'even', 'take', 'land', 'could', 'better', 'pilot', 'comfort', 'passeng', 'feel', 'replac', 'stewardess']","@TeslaNY @elonmusk I gave back my driving license 67+. No car at the moment. But when FAD I´ll by me a Tesla.
All airplanes fly autopilot. Even take off and landing could be better autonomous. Pilots are just for comfort passenger feelings (do not replace stewardess!)",gave back drive licens 67 car moment fad airplan fli even take land could better pilot comfort passeng feel replac stewardess,-0.188,"['I gave back my driving license 67+.', 'No car at the moment.', 'But when FAD I´ll by me a Tesla.', 'All airplanes fly autopilot.', 'Even take off and landing could be better autonomous.', 'Pilots are just for comfort passenger feelings (do not replace stewardess!)']","[-0.983, -0.513, -0.505, 0.956, -0.993, 0.911]"
833,833,3.0,0.2333,"drive, full, level, 2, musk, elon, year, call, 5, claim","['peopl', 'talk', 'tonight', 'relat', 'latest', 'crash', 'problem', 'level', '2', 'drive']",@SECEnfDirector @SEC_News @NHTSAgov This is what people are talking about tonight in relation to the latest Tesla “Autopilot” crash...no problems here for Level 2 autonomous driving?,peopl talk tonight relat latest crash problem level 2 drive,0.999,['This is what people are talking about tonight in relation to the latest Tesla “Autopilot” crash...no problems here for Level 2 autonomous driving?'],[0.999]
834,834,3.0,0.2378,"drive, full, level, 2, musk, elon, year, call, 5, claim","['hate', 'drive', 'much', 'trust', 'car', 'drive', 'uber', 'wanna', 'drive', 'car', 'avail', 'market', 'time', 'quit', 'think', 'mean', 'drive']",Y’all out here hating driving so much that you trust a car that isn’t autonomous to drive you. Just Uber if you don’t wanna drive. There are no autonomous cars available in the market at this time. Quit thinking Tesla’s autopilot means you don’t have to drive.,hate drive much trust car drive uber wanna drive car avail market time quit think mean drive,-0.833,"['Y’all out here hating driving so much that you trust a car that isn’t autonomous to drive you.', 'Just Uber if you don’t wanna drive.', 'There are no autonomous cars available in the market at this time.', 'Quit thinking Tesla’s autopilot means you don’t have to drive.']","[-1.0, -0.705, -0.864, -0.764]"
835,835,0.0,0.2258,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['travel', 'right', 'drive', 'privileg', 'text', 'drink', 'alcohol', 'pay', 'attent', 'road', 'surround', 'import', 'trust']","Traveling is a right, but driving is a privilege. 
Don’t text. Don’t drink alcohol. Pay attention to the road and your surroundings. And most importantly, DON’T TRUST TESLA AUTOPILOT BECAUSE IT IS NOT AUTONOMOUS.",travel right drive privileg text drink alcohol pay attent road surround import trust,-0.167,"['Traveling is a right, but driving is a privilege.', 'Don’t text.', 'Don’t drink alcohol.', 'Pay attention to the road and your surroundings.', 'And most importantly, DON’T TRUST TESLA AUTOPILOT BECAUSE IT IS NOT AUTONOMOUS.']","[0.997, -0.999, -0.822, 0.986, -0.999]"
836,836,0.0,0.2455,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['super', 'smart', 'genius', 'peopl', 'work', 'ever', 'stop', 'consid', 'mayb', 'crap', 'name', 'car', 'featur', 'fulli']","Any of the super Smart genius people working over at Tesla ever stop and consider that maybe ""Autopilot"" was a crap name for a car feature that isn't fully autonomous? 🤷",super smart genius peopl work ever stop consid mayb crap name car featur fulli,-0.88,"['Any of the super Smart genius people working over at Tesla ever stop and consider that maybe ""Autopilot"" was a crap name for a car feature that isn\'t fully autonomous?', '🤷']","[-0.999, -0.761]"
837,837,1.0,0.2462,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['sure', 'plain', 'would', 'let', 'car', 'run', 'nobodi', 'driver', 'seat', 'stagger', 'incompet', 'mention', 'terribl', 'name', 'featur', 'seem', 'possibl', 'test', 'full', 'mode']","@dmataconis Surely plain Autopilot would not let the car run with nobody in the driver seat. If it did, that's staggering incompetence from Tesla (not to mention the terrible naming of the feature).

Seems possible they were testing out the full autonomous mode:

https://t.co/J94o4N57nP",sure plain would let car run nobodi driver seat stagger incompet mention terribl name featur seem possibl test full mode,-0.89,"['Surely plain Autopilot would not let the car run with nobody in the driver seat.', ""If it did, that's staggering incompetence from Tesla (not to mention the terrible naming of the feature)."", 'Seems possible they were testing out the full autonomous mode:']","[-0.999, -1.0, -0.671]"
838,838,4.0,0.2399,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['horrifi', 'wow', 'close', 'mcdonald', 'starbuck', 'warn', 'peopl', 'hot', 'coffe', 'cup', 'may', 'hot', 'sure', 'requir', 'stop', 'call', 'stop', 'media', 'call', 'driverless', 'car']","This is horrifying (and wow, close to here). McDonald's and Starbucks have to warn people that hot coffee in the cups may be hot. Surely we require Tesla to stop calling it Autopilot and stop media from calling them ""driverless"" or ""autonomous"" cars.",horrifi wow close mcdonald starbuck warn peopl hot coffe cup may hot sure requir stop call stop media call driverless car,-0.986,"['This is horrifying (and wow, close to here).', ""McDonald's and Starbucks have to warn people that hot coffee in the cups may be hot."", 'Surely we require Tesla to stop calling it Autopilot and stop media from calling them ""driverless"" or ""autonomous"" cars.']","[-0.998, -0.994, -0.966]"
839,839,3.0,0.2337,"drive, full, level, 2, musk, elon, year, call, 5, claim","['yes', 'let', 'call', 'featur', 'surpris', 'nobodi', 'musk', 'blame', 'crash', 'custom']","Yes, let’s call a feature “Autopilot” that is not autonomous. Surprising nobody, Musk blames crashes on Tesla customers.  https://t.co/GJnbJB456e",yes let call featur surpris nobodi musk blame crash custom,-0.983,"['Yes, let’s call a feature “Autopilot” that is not autonomous.', 'Surprising nobody, Musk blames crashes on Tesla customers.']","[-0.97, -0.996]"
840,840,4.0,0.2464,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['year', 'advertis', 'featur', 'fulli', 'function', 'realiti', 'howev', 'admit', 'featur', 'nowher', 'near', 'drive', 'owner', 'manual', 'compani', 'admit', 'requir', 'activ', 'driver', 'supervis']","""For years, Tesla has advertised its Autopilot feature as a fully autonomous function...The reality, however, is that Tesla admits these features are nowhere near autonomous driving. In its owners manual, the company admits both 'require active driver supervision...'""",year advertis featur fulli function realiti howev admit featur nowher near drive owner manual compani admit requir activ driver supervis,-0.989,"['""For years, Tesla has advertised its Autopilot feature as a fully autonomous function...The reality, however, is that Tesla admits these features are nowhere near autonomous driving.', 'In its owners manual, the company admits both \'require active driver supervision...\'""']","[-0.999, -0.979]"
841,841,2.0,0.2295,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['ny', 'time', 'post', 'articl', 'titl', 'say', 'drive', 'fatal', 'crash', 'bodi', 'say', 'know', 'engag', 'illeg']",@elonmusk @Amart15416132 @WSJ NY times posted a article with title saying “Tesla with autonomous driving fatal crash” then in body say “did not know if autopilot was engaged” THIS SHOULD BE ILLEGAL,ny time post articl titl say drive fatal crash bodi say know engag illeg,-1.0,['NY times posted a article with title saying “Tesla with autonomous driving fatal crash” then in body say “did not know if autopilot was engaged” THIS SHOULD BE ILLEGAL'],[-1.0]
842,842,1.0,0.2189,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['autom', 'highway', 'drive', 'task', 'make', 'car', 'despit', 'monik', 'come', 'fire', 'mislead', 'name', 'critic', 'say', 'overst', 'technolog', 'abil', 'invit', 'driver', 'misus']","⤴️❛Autopilot automates some highway-driving tasks, but it doesn’t make cars autonomous, despite its moniker. Tesla has come under fire for Autopilot’s misleading name, which critics say overstates the technology’s ability and invites drivers to misuse it.❜",autom highway drive task make car despit monik come fire mislead name critic say overst technolog abil invit driver misus,-0.999,"['⤴️❛Autopilot automates some highway-driving tasks, but it doesn’t make cars autonomous, despite its moniker.', 'Tesla has come under fire for Autopilot’s misleading name, which critics say overstates the technology’s ability and invites drivers to misuse it.❜']","[-0.999, -0.999]"
843,843,0.0,0.2238,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['tsla', '3', '5', '2', 'peopl', 'die', 'misus', 'featur', 'full', 'fledg', 'taxi', 'elon', 'musk', 'amp', 'lot', 'thing', 'fix', 'stupid', 'buy', 'dip', '675', 'need']","$TSLA down 3-5% after 2 people died misusing the autopilot feature as a full fledged autonomous taxi. 

Elon Musk &amp; Tesla can do a lot of things - but they can’t fix stupid. 

Buying the dip down to 675 if needed.",tsla 3 5 2 peopl die misus featur full fledg taxi elon musk amp lot thing fix stupid buy dip 675 need,-0.411,"['$TSLA down 3-5% after 2 people died misusing the autopilot feature as a full fledged autonomous taxi.', 'Elon Musk &amp; Tesla can do a lot of things - but they can’t fix stupid.', 'Buying the dip down to 675 if needed.']","[-1.0, -0.766, 0.533]"
844,844,0.0,0.3366,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['suppos', 'driver', 'seat', 'hand', 'steer', 'wheel', 'great', 'safe', 'featur', 'peopl', 'manipul', 'lead', 'accid', 'never', 'meant', 'mine', 'disengag', 'hand', 'wheel']","@NBCNews Because you are supposed to be in the drivers seat with your hands on the steering wheel, autopilot on my Tesla is a great, safe feature, then people manipulate it leading to these accidents. It was never meant to be autonomous, mine disengages if my hands are not on the wheel",suppos driver seat hand steer wheel great safe featur peopl manipul lead accid never meant mine disengag hand wheel,-0.232,"['Because you are supposed to be in the drivers seat with your hands on the steering wheel, autopilot on my Tesla is a great, safe feature, then people manipulate it leading to these accidents.', 'It was never meant to be autonomous, mine disengages if my hands are not on the wheel']","[0.534, -0.998]"
845,845,0.0,0.2259,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['market', 'later', 'cruis', 'control', 'stay', 'lane', 'insid', 'level', '4', 'vehicl', 'thing']","Tesla's ""autopilot"" is marketing. It has lateral cruise control so you can stay in the lane. I have been inside a level 4 autonomous vehicle, it's not the same thing. https://t.co/oiBZjtlicn",market later cruis control stay lane insid level 4 vehicl thing,-0.305,"['Tesla\'s ""autopilot"" is marketing.', 'It has lateral cruise control so you can stay in the lane.', ""I have been inside a level 4 autonomous vehicle, it's not the same thing.""]","[-0.91, 0.992, -0.997]"
846,846,4.0,0.2414,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['releas', 'self', 'describ', 'drive', 'crash', 'eye', 'road', 'fuck', 'idiot']","Tesla: Releases self described “autonomous driving” and “autopilot”

*crash*

Tesla: Eyes on the road you fucking idiots",releas self describ drive crash eye road fuck idiot,-0.977,['Tesla: Releases self described “autonomous driving” and “autopilot” *crash* Tesla: Eyes on the road you fucking idiots'],[-0.977]
847,847,4.0,0.366,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['oh', 'yeah', 'sure', 'ppl', 'accord', 'featur', 'allow', 'vehicl', 'steer', 'acceler', 'brake', 'automat', 'within', 'lane', 'also', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl']","@prowitchhazel Oh yeah I’m sure ppl can. But according to Tesla their Autopilot feature allows its vehicles to “steer, accelerate and brake automatically within its lane.” But also that “current Autopilot features require active driver supervision and do not make the vehicle autonomous.” 🤷🏻‍♂️",oh yeah sure ppl accord featur allow vehicl steer acceler brake automat within lane also current featur requir activ driver supervis make vehicl,-0.017,"['Oh yeah I’m sure ppl can.', 'But according to Tesla their Autopilot feature allows its vehicles to “steer, accelerate and brake automatically within its lane.”', 'But also that “current Autopilot features require active driver supervision and do not make the vehicle autonomous.”', '🤷🏻\u200d♂️']","[0.999, 0.653, -0.961, -0.761]"
848,848,4.0,0.2305,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['honest', 'insan', 'allow', 'experi', 'public', 'advertis', 'flaw', 'driver', 'assist', 'featur', 'drive', 'even', 'caus', 'dozen', 'crash', 'countless', 'injuri', 'number', 'death']","Honestly it's insane that Tesla is allowed to experiment on the public by advertising a flawed driver assist feature as ""Autopilot"" and ""autonomous driving"" even after causing dozens of crashes, countless injuries, and a number of deaths. https://t.co/Xp021iWMVS",honest insan allow experi public advertis flaw driver assist featur drive even caus dozen crash countless injuri number death,-1.0,"['Honestly it\'s insane that Tesla is allowed to experiment on the public by advertising a flawed driver assist feature as ""Autopilot"" and ""autonomous driving"" even after causing dozens of crashes, countless injuries, and a number of deaths.']",[-1.0]
849,849,0.0,0.2563,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['idea', 'fulli', 'come', 'everi', 'flight', 'taken', 'would', 'supervis', 'human', 'pilot', 'give', 'one', 'exampl', 'mean', 'human', 'supervis', 'requir']","@PeterPP3 @MilMileBattery @McDonalds @Apple @Ciroc @Tesla Where does this idea that ‘autopilot’ = ‘fully autonomous’ come from?

Every flight you’ve taken would have had autopilot. Supervised by human pilots.

Can you give one example where autopilot means no human supervision is required?",idea fulli come everi flight taken would supervis human pilot give one exampl mean human supervis requir,-0.528,"['Where does this idea that ‘autopilot’ = ‘fully autonomous’ come from?', 'Every flight you’ve taken would have had autopilot.', 'Supervised by human pilots.', 'Can you give one example where autopilot means no human supervision is required?']","[-0.998, -0.999, 0.874, -0.99]"
850,850,4.0,0.3333,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['enabl', 'steer', 'acceler', 'brake', 'automat', 'within', 'lane', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl', '2of2', 'tsla']","Autopilot enables your #Tesla to steer, accelerate and brake automatically within its lane.
Current Autopilot features require active driver supervision and do not make the vehicle autonomous. (2of2) $TSLA",enabl steer acceler brake automat within lane current featur requir activ driver supervis make vehicl 2of2 tsla,-0.323,"['Autopilot enables your Tesla to steer, accelerate and brake automatically within its lane.', 'Current Autopilot features require active driver supervision and do not make the vehicle autonomous.', '(2of2) $TSLA']","[1.0, -0.972, -0.997]"
851,851,4.0,0.2373,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['previous', 'caution', 'custom', 'drive', 'system', 'still', 'requir', 'constant', 'attent', 'road', 'use']",Tesla has previously cautioned its customers that Autopilot is not an autonomous driving system and still requires constant attention to the road while in use. https://t.co/vTy3QuvARv,previous caution custom drive system still requir constant attent road use,0.691,['Tesla has previously cautioned its customers that Autopilot is not an autonomous driving system and still requires constant attention to the road while in use.'],[0.691]
852,852,0.0,0.2269,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['hyper', 'ventil', 'report', 'media', 'believ', 'fsd', 'real', 'thing', 'damag', 'amp', '2', 'overallcaus', 'drive', 'bet', 'vindic', 'wont', 'equal', 'amount', 'report', 'bleed', 'lead']","@MelissaLeeCNBC All the hyper ventilated reporting in media is all about how it is believed to be autopilot/fsd.only real thing is the damage to tesla &amp; 2 the overallcause of autonomous driving.i will bet if tesla is vindicated,there wont be equal amount of reporting on it.if it bleeds it leads.",hyper ventil report media believ fsd real thing damag amp 2 overallcaus drive bet vindic wont equal amount report bleed lead,-1.0,"['All the hyper ventilated reporting in media is all about how it is believed to be autopilot/fsd.only real thing is the damage to tesla &amp; 2 the overallcause of autonomous driving.i will bet if tesla is vindicated,there wont be equal amount of reporting on it.if it bleeds it leads.']",[-1.0]
853,853,0.0,0.2413,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['ah', 'yes', 'well', 'known', 'parti', 'world', 'work', 'self', 'drive', 'car', 'univers', 'earth', 'ever', 'built', 'one', 'independ', 'even', 'talk', 'talk', 'hand', 'fulli']","@Dripdog @bigblackjacobin ah yes, it is well-known that Tesla is the only party in the world working on self-driving cars, and no university on earth has ever built one independently. I'm not even talking autopilot, I'm talking hands-off fully autonomous.",ah yes well known parti world work self drive car univers earth ever built one independ even talk talk hand fulli,-0.069,"['ah yes, it is well-known that Tesla is the only party in the world working on self-driving cars, and no university on earth has ever built one independently.', ""I'm not even talking autopilot, I'm talking hands-off fully autonomous.""]","[0.861, -0.999]"
854,854,4.0,0.3525,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['1st', 'qtr', 'report', 'use', 'semi', 'mode', 'crash', 'everi', '4', '19', 'million', 'mile', 'safeti', 'featur', 'engag', 'crash', 'everi', '978', '000', 'mile', 'nhtsa', 'data', 'show', 'car', 'unit', 'state', 'crash', 'averag', 'everi', '484', '000', 'mile']","Tesla's 1st qtr report,
• using the semi-autonomous Autopilot mode crashed once every 4.19 million miles
• no Autopilot or safety features engaged crashed once every 978,000 miles
• NHTSA data that shows cars in the United States crash on average once every 484,000 miles""",1st qtr report use semi mode crash everi 4 19 million mile safeti featur engag crash everi 978 000 mile nhtsa data show car unit state crash averag everi 484 000 mile,-1.0,"['Tesla\'s 1st qtr report, • using the semi-autonomous Autopilot mode crashed once every 4.19 million miles • no Autopilot or safety features engaged crashed once every 978,000 miles • NHTSA data that shows cars in the United States crash on average once every 484,000 miles""']",[-1.0]
855,855,4.0,0.2958,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['tsla', 'stock', 'crash', 'engag', 'car', 'warn', 'driver', 'must', 'driver', 'seat', 'state', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl', 'individu', 'passeng', 'seat']",$TSLA stock down after a crash of an autopilot engaged car.  Tesla warns that a driver must be in the drivers seat. #Tesla states: Current Autopilot features require active driver supervision and do not make the vehicle autonomous.” -  individual was in passenger seat. https://t.co/YLxpam1MFT,tsla stock crash engag car warn driver must driver seat state current featur requir activ driver supervis make vehicl individu passeng seat,-0.983,"['$TSLA stock down after a crash of an autopilot engaged car.', 'Tesla warns that a driver must be in the drivers seat.', 'Tesla states: Current Autopilot features require active driver supervision and do not make the vehicle autonomous.”', '- individual was in passenger seat.']","[-1.0, -0.996, -0.995, -0.94]"
856,856,2.0,0.2414,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['driverless', 'crash', 'burn', 'four', 'hour', 'polic', 'said', 'kill', 'two', 'passeng', 'texa']","A driverless Tesla crashed and burned for four hours, police said, killing two passengers in Texas https://t.co/mNL40nJb4n",driverless crash burn four hour polic said kill two passeng texa,-1.0,"['A driverless Tesla crashed and burned for four hours, police said, killing two passengers in Texas']",[-1.0]
857,857,4.0,0.2714,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['held', 'respons', 'crash', 'driver', 'ignor', 'manufactur', 'recommend', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl', 'crash', 'occur', 'one', 'driver', 'seat', 'tsla']",Tesla shouldn’t be held responsible for a crash where the driver ignored manufactures recommendations - From Tesla:  “Current Autopilot features require active driver supervision and do not make the vehicle autonomous.” This crash occurred with no one in the drivers seat $TSLA https://t.co/qkQaQ3azWI,held respons crash driver ignor manufactur recommend current featur requir activ driver supervis make vehicl crash occur one driver seat tsla,-0.999,"['Tesla shouldn’t be held responsible for a crash where the driver ignored manufactures recommendations - From Tesla: “Current Autopilot features require active driver supervision and do not make the vehicle autonomous.”', 'This crash occurred with no one in the drivers seat $TSLA']","[-0.999, -0.999]"
858,858,4.0,0.2931,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['even', 'say', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl']","@WyattBEarp Even Tesla says, 
“Current Autopilot features require active driver supervision and do not make the vehicle autonomous.”",even say current featur requir activ driver supervis make vehicl,-0.988,"['Even Tesla says, “Current Autopilot features require active driver supervision and do not make the vehicle autonomous.”']",[-0.988]
859,859,0.0,0.2328,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['mock', 'use', 'term', 'even', 'kill', 'peopl', 'call', 'fact', 'semi', 'drive', 'system', 'guid', 'car', 'limit', 'circumst']","@RancidSlime @AveryOfBirds @DrScuttles @MandoParty We mock him for using the term ""autopilot"" even as it kills people.

""What Tesla calls Autopilot is in fact a semi-autonomous driving system that can guide a car under limited circumstances.""

https://t.co/CojxS0XPci",mock use term even kill peopl call fact semi drive system guid car limit circumst,-0.93,"['We mock him for using the term ""autopilot"" even as it kills people.', '""What Tesla calls Autopilot is in fact a semi-autonomous driving system that can guide a car under limited circumstances.""']","[-0.999, -0.861]"
860,860,4.0,0.3143,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['heart', 'goe', 'famili', 'men', 'neither', 'fsd', 'capabl', 'system', 'owner', 'manual', 'caution', 'driver', 'current', 'enabl', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl']","My heart goes out to the families of these men.

“neither Autopilot nor FSD Capability is an autonomous system. And in their owners’ manuals, Tesla cautions drivers: 'The currently enabled features require active driver supervision and do not make the vehicle autonomous.'""

👇",heart goe famili men neither fsd capabl system owner manual caution driver current enabl featur requir activ driver supervis make vehicl,-0.331,"['My heart goes out to the families of these men.', '“neither Autopilot nor FSD Capability is an autonomous system.', 'And in their owners’ manuals, Tesla cautions drivers: \'The currently enabled features require active driver supervision and do not make the vehicle autonomous.\'"" 👇']","[0.998, -0.998, -0.992]"
861,861,0.0,0.3449,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['fault', '2', 'darwin', 'award', 'winner', 'decid', 'sit', 'backseat', 'without', 'driver', 'fulli', 'plenti', 'warn', 'purpos', 'tri', 'trick', 'system', 'paid']","@pardoe_louis @ElectrekCo @anasalhajji @FredericLambert So it’s Tesla’s fault these 2 Darwin award winners decided to sit in the backseat without a driver? Autopilot is not fully autonomous, plenty of warnings. They purposely tried to trick the system and paid for it.",fault 2 darwin award winner decid sit backseat without driver fulli plenti warn purpos tri trick system paid,-0.862,"['So it’s Tesla’s fault these 2 Darwin award winners decided to sit in the backseat without a driver?', 'Autopilot is not fully autonomous, plenty of warnings.', 'They purposely tried to trick the system and paid for it.']","[-0.601, -0.999, -0.987]"
862,862,2.0,0.2148,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['report', 'say', 'spoke', 'go', 'someon', 'driver', 'seat', 'deduc', 'admit', 'car', 'warn', 'switch']",@MaxKennerly @cczona The report doesn’t say any of this.  They „spoke about autopilot“ before going.  And if someone was in the driver seat or not can’t be deduced by this.  And Tesla doesn’t only admit the cars are autonomous they warn you when you switch on autopilot that they are not,report say spoke go someon driver seat deduc admit car warn switch,-0.94,"['The report doesn’t say any of this.', 'They „spoke about autopilot“ before going.', 'And if someone was in the driver seat or not can’t be deduced by this.', 'And Tesla doesn’t only admit the cars are autonomous they warn you when you switch on autopilot that they are not']","[-0.923, -0.999, -0.87, -0.968]"
863,863,0.0,0.3056,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['alway', 'advertis', 'driver', 'assist', 'softwar', 'fulli', 'drive', 'solut', 'gross', 'neglig', 'driver', 'suppos', 'watch', 'road', 'minimum', 'sit', 'driver', 'seat']","Tesla has always advertised Autopilot as driver assistant software, not a fully autonomous (for now) driving solution.

This is gross negligence by the driver, who was supposed to be watching the road, or at a minimum sitting in the driver seat.",alway advertis driver assist softwar fulli drive solut gross neglig driver suppos watch road minimum sit driver seat,-0.781,"['Tesla has always advertised Autopilot as driver assistant software, not a fully autonomous (for now) driving solution.', 'This is gross negligence by the driver, who was supposed to be watching the road, or at a minimum sitting in the driver seat.']","[-0.563, -1.0]"
864,864,3.0,0.2381,"drive, full, level, 2, musk, elon, year, call, 5, claim","['speak', '100', 'wrong', 'call', 'system', 'say', 'purpos', 'system', 'feign', 'autonomi', 'long', 'enough', 'encourag', 'reckless', 'behavior']","@spcohn Speaking of ""100% wrong,"" you just called the Tesla autopilot system ""autonomous."" It's not. Tesla says it's not.

So what's the purpose of the system? To feign autonomy long enough to encourage reckless behavior?",speak 100 wrong call system say purpos system feign autonomi long enough encourag reckless behavior,-0.985,"['Speaking of ""100% wrong,"" you just called the Tesla autopilot system ""autonomous.""', ""It's not."", ""Tesla says it's not."", ""So what's the purpose of the system?"", 'To feign autonomy long enough to encourage reckless behavior?']","[-0.999, -0.976, -0.985, -0.997, -0.966]"
865,865,3.0,0.2384,"drive, full, level, 2, musk, elon, year, call, 5, claim","['fresh', 'remind', 'behind', 'scene', '2016', 'drive', 'video', 'still', 'websit', 'today', 'take', '177', 'tsla', 'tslaq', 'fsd']","Fresh reminder:

Behind the scenes to Tesla’s 2016 autonomous drive video still on their website today.  (take #177) 👇👇👇

$TSLA $TSLAQ #Tesla #FSD #Autopilot",fresh remind behind scene 2016 drive video still websit today take 177 tsla tslaq fsd,0.039,"['Fresh reminder: Behind the scenes to Tesla’s 2016 autonomous drive video still on their website today.', '(take 177) 👇👇👇 $TSLA $TSLAQ Tesla FSD Autopilot']","[0.998, -0.919]"
866,866,3.0,0.231,"drive, full, level, 2, musk, elon, year, call, 5, claim","['haha', 'rather', 'say', 'one', 'driver', 'seat', 'oper', 'vehicl', 'say', 'simpli', 'someth', 'driverless', 'sinc', 'everyon', 'know', 'automat', 'assum', 'mean', 'first', 'definit']","@JeffTutorials Haha no they’re not😅 
Rather than saying “there was no one in the driver seat operating the vehicle” you can say simply something was “driverless”

But since everyone knows about Tesla Autopilot it’s automatically assumed they mean the first definition/autonomous",haha rather say one driver seat oper vehicl say simpli someth driverless sinc everyon know automat assum mean first definit,-0.989,['Haha no they’re not😅 Rather than saying “there was no one in the driver seat operating the vehicle” you can say simply something was “driverless” But since everyone knows about Tesla Autopilot it’s automatically assumed they mean the first definition/autonomous'],[-0.989]
867,867,4.0,0.3097,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['howev', 'warn', 'custom', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl']","https://t.co/6pt4qSOlOd 
Tesla, however, warns its customers that ""Current Autopilot features require active driver supervision and do not make the vehicle autonomous.""",howev warn custom current featur requir activ driver supervis make vehicl,-0.995,"['Tesla, however, warns its customers that ""Current Autopilot features require active driver supervision and do not make the vehicle autonomous.""']",[-0.995]
